
## Phase 1: 供应商准入与主数据协同 

| US编号 | 标题 | 功能说明 | 哪一端操作？ |
| US-302-2 | 查看供应商产能 | 查看产能响应、交期承诺、风险说明 | 采购方操作 |
| US-303-1 | 采购订单发布 | 发布采购订单 | 采购方操作 |
| US-303-2 | 确认采购订单、拒绝订单、提出异议 | 供应商操作 |
| US-304-1 | 采购订单变更与关闭 | 订单变更/关闭 | 采购方操作 |
| US-304-2 | 查看采购订单变更与关闭 | 查看采购订单变更/关闭 | 供应商操作 |
| US-305-1 | 发布要货计划 | 要货计划是根据采购订单发布 | 采购方操作 |
| US-305-2 | 查看发布的要货计划 | 查看要货计划 | 供应商操作 |
| US-306-1 | 确认/修正要货计划 | 供应商确认要货计划、提交调整建议 | 供应商操作 |
| US-306-2 | 查看要货计划 | 查看供应商已经确认的要货计划和调整建议 | 采购方操作 |
| US-307-1 | 供应商创建送货计划 (ASN) |  创建 ASN、维护发货信息 | 供应商操作 |
| US-307-2 | 查看送货计划 (ASN) | 查看 ASN | 采购方操作 |
| US-308-1 | 采购方确认送货计划 | 批准、拒绝、修改送货计划 | 采购方操作 |
| US-308-2 | 查看送货计划（ASN) | 查看ASN送货安排 | 供应商操作 |
| US-309-1 | 装箱单与批次信息提交 | 提交装箱单与批次信息 | 供应商操作 |
| US-309-2 | 批准、拒绝、修改装箱单与批次信息 | 审批装箱单与批次信息，或修改 | 采购方操作 |
| US-310-1 | 发布收货与验收结果 | 发布收货单和质检结果 | 采购方操作 |
| US-310-2 | 查看收货与验收结果 | 查看收货单和质检结果 | 供应商操作 |

## Phase 4: 财务结算协同

| US编号 | 标题 | 功能说明 | 哪一端操作？ |
|--------|------|-----------|-------------|
| US-401-1 | 供应商创建结算单 | 创建、提交对账结算信息 | 供应商操作 |
| US-401-2 | 采购方审核结算单 | 批准、拒绝、留言 | 采购方操作 |
| US-402-1 | 修改结算单 | 根据意见修订结算单、回复留言 | 供应商操作 | 
| US-402-2 | 采购方审核修改后的结算单 | 批准、拒绝、留言 | 采购方操作 |
| US-403-1 | 发票创建与附件上传 | 创建发票、上传发票影像（根据结算单） | 供应商操作 |
| US-403-2 | 采购方三单匹配与发票审批 | 查看三单匹配结果、批准或拒绝发票 | 采购方操作 |
| US-404-1 | 按驳回原因补充说明或重提发票 | 按驳回原因补充说明或重提发票 | 供应商操作 |
| US-404-2 | 查看重提的发票 | 查看供应商重提发票 | 采购方操作 |
| US-405-1 | 付款状态发布 | 付款记录和付款状态发布 | 采购方操作 |
| US-405-2 | 付款状态查询 | 查看付款记录和付款状态 | 供应商操作 |

## 通用运营 ✅

| US编号 | 标题 | 功能说明 | 哪一端操作？ |
|--------|------|-----------|-------------|
| US-501-1 | 公告栏运营协同 | 发布、编辑、删除公告 | 采购方操作 |
| US-501-2 | 查看公告栏 | 查看公告、记录已读 | 供应商操作 |
